Name,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,"Shots per 
game",Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,Unnamed: 32
Hamza Mendyl,6.41,70,"D(L), M(L)",7.0,545.0,0.0,5.0,0.0,0.3,0.0,1.9,0.9,1.2,0.1,0.7,1.1,0.2,0.0,0.0,0.3,0.8,0.7,0.0,0.3,0.6,0.0,21.9,72.6,0.0,1.1,0.0,
Håvard Nordtveit,6.4,76,"D(CR), DMC",4.0,468.0,0.0,2.0,0.0,0.8,0.0,1.0,0.5,1.6,0.3,1.8,0.5,0.6,0.0,0.0,0.5,0.6,0.4,0.0,0.3,0.4,0.3,33.6,83.3,0.0,2.3,0.0,
Matthias Ostrzolek,6.4,75,"D(L), DMC, M(L)",16.0,1466.0,0.0,2.0,0.0,0.6,0.0,1.8,1.4,0.7,0.1,2.1,0.7,0.3,0.0,0.0,0.3,0.2,1.4,0.0,0.5,0.9,0.4,34.4,75.1,0.4,2.6,0.0,
Robert Bauer,6.39,72,"D(CLR), M(LR)",19.0,1724.0,0.0,3.0,1.0,0.6,0.0,2.2,1.3,0.9,0.1,3.0,0.9,0.2,0.0,0.0,0.4,0.2,0.8,0.0,0.3,0.7,0.5,27.3,76.7,0.4,1.2,0.0,
Kevin Wimmer,6.38,75,D(C),17.0,1679.0,0.0,5.0,0.0,1.3,0.0,1.1,1.9,0.9,0.6,2.7,0.5,1.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.3,47.0,80.8,0.0,4.8,0.0,
Miiko Albornoz,6.37,71,"D(L), M(L)",19.0,1660.0,3.0,3.0,1.0,0.5,0.0,2.1,0.8,1.5,0.1,1.4,1.1,0.1,0.0,1.0,0.5,0.3,1.7,0.0,0.8,1.2,0.8,32.4,75.3,0.8,1.9,0.0,
Robin Bormuth,6.36,69,D(C),6.0,615.0,0.0,2.0,0.0,1.4,0.0,0.7,1.0,0.5,0.2,4.9,0.5,0.4,0.0,0.0,0.0,0.2,0.3,0.1,0.0,0.3,0.1,27.2,80.1,0.0,2.1,0.0,
Justin Hoogma,6.35,69,D(C),1.0,110.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,51.0,88.2,0.0,4.5,0.0,
Julian Korb,6.35,75,"D(R), M(R)",11.0,1008.0,0.0,0.0,0.0,0.5,0.0,2.2,1.9,1.2,0.2,2.6,1.6,0.3,0.0,0.0,0.2,0.3,0.4,0.1,0.3,1.2,0.8,33.3,71.2,0.5,1.3,0.0,
Kevin Goden,6.34,62,Defender,3.0,273.0,0.0,1.0,0.0,1.4,0.0,0.8,0.8,0.4,0.0,1.8,1.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.2,16.0,60.0,0.2,0.4,0.0,
Felix Uduokhai,6.32,76,D(C),2.0,238.0,0.0,2.0,0.0,0.7,0.0,1.2,0.5,0.7,0.0,0.7,0.1,0.2,0.0,0.0,0.1,0.3,0.5,0.0,0.1,0.5,0.0,10.9,84.2,0.0,1.1,0.0,
Fabian Johnson,6.32,77,"D(LR), M(CLR)",11.0,1010.0,0.0,1.0,0.0,0.6,0.0,0.7,0.6,0.2,0.1,0.7,0.1,0.2,0.0,1.0,0.2,0.1,0.8,0.2,0.4,0.7,0.2,27.9,80.1,0.1,0.6,0.0,
Jetro Willems,6.31,76,"D(L), DMC, M(L)",7.0,720.0,1.0,2.0,1.0,0.4,0.0,0.9,0.4,0.3,0.0,0.4,0.3,0.2,0.0,0.0,0.2,0.3,0.3,0.0,0.7,0.5,0.9,11.3,71.0,0.6,0.7,0.0,
Derrick Luckassen,6.31,73,"D(CR), DMC",2.0,248.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.5,3.3,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.3,0.0,0.5,0.0,46.3,89.7,0.0,3.0,0.0,
Georg Teigl,6.29,68,"D(R), M(R)",2.0,292.0,0.0,0.0,0.0,0.2,0.0,0.8,1.2,0.3,0.2,0.7,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.3,0.5,0.7,0.3,10.5,57.1,0.0,0.2,0.0,
Chima Okoroji,6.29,58,D(L),1.0,104.0,0.0,0.0,0.0,0.5,0.0,1.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,1.0,0.0,10.0,65.0,0.0,0.5,0.0,
Jeffrey Bruma,6.26,75,D(C),7.0,623.0,0.0,4.0,0.0,2.2,0.0,1.3,0.4,1.0,0.2,3.8,0.7,0.2,1.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,35.2,79.8,0.0,4.0,0.0,
Peter Pekarík,6.26,75,D(LR),2.0,216.0,0.0,0.0,0.0,1.3,0.0,0.7,0.3,0.0,0.0,1.7,0.7,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,35.3,74.5,0.7,2.3,0.0,
Taleb Tawatha,6.25,70,"D(L), M(L)",1.0,125.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,1.0,0.0,12.3,70.3,0.0,1.3,0.0,
Paul Verhaegh,6.23,74,"D(R), M(R)",2.0,180.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,46.0,81.5,0.0,1.0,0.0,
Kevin Akpoguma,6.2,75,D(C),4.0,314.0,0.0,2.0,0.0,1.5,0.0,2.5,2.5,1.0,0.5,1.8,0.3,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,42.3,78.7,0.0,2.3,0.0,
Josip Elez,6.19,73,D(C),7.0,647.0,0.0,1.0,0.0,1.0,0.0,0.8,0.6,0.6,0.6,2.7,0.9,0.4,0.0,0.0,0.3,0.3,0.2,0.0,0.4,0.3,0.2,30.6,78.1,0.0,1.9,0.0,
Reece Oxford,6.16,67,D(C),6.0,505.0,1.0,0.0,1.0,2.0,0.0,1.5,1.4,0.5,0.6,4.5,0.3,1.1,0.0,0.0,0.5,0.0,0.1,0.0,0.1,0.3,0.3,37.3,81.2,0.0,4.0,0.0,
Antonis Aidonis,6.05,62,Defender,1.0,81.0,0.0,1.0,0.0,1.0,0.0,1.5,1.0,0.5,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10.5,38.1,0.5,0.5,0.0,
Simon Asta,6.01,60,Defender,1.0,90.0,0.0,1.0,0.0,2.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,48.4,1.0,0.0,0.0,
Christoph Janker,5.93,70,D(C),1.0,71.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,7.0,85.7,0.0,0.0,0.0,
Benjamin Henrichs,5.49,76,"D(LR), M(R)",1.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,33.0,81.8,1.0,1.0,0.0,
Carlos Isaac,7.35,63,Defender,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,41.0,85.4,0.0,0.0,0.0,
Guillermo Maripán,7.2,75,D(C),22.0,2009.0,2.0,5.0,0.0,4.2,2.0,2.0,1.7,0.7,0.9,5.7,0.5,0.8,0.0,2.0,0.7,0.1,0.4,0.0,0.0,0.2,0.1,30.8,75.3,0.0,3.7,0.0,
Gerard Piqué,7.18,87,D(C),35.0,3150.0,2.0,6.0,0.0,3.4,0.0,1.2,1.0,0.7,0.4,4.2,0.4,0.8,0.0,4.0,0.5,0.3,0.6,0.1,0.3,0.5,0.2,68.3,91.4,0.0,4.3,0.0,
Saúl Ñíguez,7.17,85,"D(CL), M(CLR)",32.0,2925.0,1.0,10.0,0.0,2.9,4.0,2.5,1.3,1.7,0.1,2.2,1.5,0.3,1.0,4.0,1.6,1.0,0.8,0.2,1.0,1.4,0.5,44.9,78.8,0.1,1.5,0.1,
Pablo Sarabia,7.16,82,"D(L), M(CLR)",30.0,2730.0,13.0,9.0,0.0,0.3,5.0,0.9,0.7,1.4,0.1,0.5,1.2,0.1,0.0,12.0,2.3,0.8,1.5,0.5,1.1,1.9,2.1,36.6,79.6,1.3,1.2,0.1,
José Giménez,7.13,84,D(CR),19.0,1772.0,0.0,5.0,0.0,2.7,0.0,1.2,2.1,0.4,0.2,6.0,0.6,0.7,0.0,0.0,0.7,0.3,0.9,0.0,0.1,0.4,0.1,34.2,80.5,0.0,4.1,0.0,
Cote,7.06,77,D(L),34.0,3035.0,1.0,9.0,0.0,1.4,1.0,1.9,1.2,0.6,0.5,2.8,0.7,0.1,0.0,1.0,0.7,1.3,0.5,0.0,0.5,0.6,1.6,42.5,68.1,2.0,5.1,0.0,
Emiliano Velázquez,7.05,74,D(C),14.0,1275.0,2.0,8.0,0.0,2.3,0.0,2.7,2.6,1.7,0.6,5.7,0.8,0.4,0.0,0.0,0.4,0.8,0.3,0.0,0.3,0.8,0.4,28.1,69.5,0.2,2.1,0.1,
Zouhair Feddal,7.04,80,D(C),19.0,1702.0,1.0,7.0,0.0,3.4,2.0,1.8,1.5,1.4,0.6,4.3,0.6,0.4,0.0,1.0,0.8,0.9,0.4,0.0,0.2,0.7,0.3,60.6,86.2,0.0,4.1,0.0,
Rubén Peña,7.04,77,"D(R), M(L)",30.0,2674.0,2.0,3.0,0.0,0.7,1.0,2.0,1.1,0.8,0.5,1.3,0.9,0.3,0.0,1.0,0.7,2.0,1.1,0.0,0.9,1.5,1.4,43.5,71.5,1.6,3.9,0.0,
Daniel Carvajal,7.04,84,D(R),23.0,2106.0,2.0,10.0,0.0,0.8,1.0,1.7,1.1,1.3,0.0,1.1,1.0,0.3,0.0,1.0,0.5,1.4,1.4,0.1,0.8,1.1,1.3,64.6,87.4,0.4,3.5,0.0,
Roberto Rosales,7.02,74,"D(R), M(R)",20.0,1751.0,1.0,2.0,0.0,2.4,1.0,2.3,1.0,1.6,0.1,2.9,1.1,0.3,0.0,3.0,0.9,0.6,0.8,0.0,0.5,1.4,0.6,43.5,77.3,0.5,3.2,0.0,
Lucas Hernández,7.02,82,D(CL),13.0,1119.0,0.0,5.0,0.0,1.6,1.0,2.5,1.0,0.9,0.1,3.4,0.2,0.6,0.0,1.0,0.4,0.4,1.4,0.0,0.4,0.3,0.2,36.4,81.3,0.2,1.5,0.0,
Jordi Alba,7.01,87,D(L),32.0,2988.0,8.0,6.0,0.0,0.5,1.0,1.2,1.7,0.7,0.4,1.6,0.8,0.2,0.0,2.0,0.4,0.4,0.5,0.3,0.6,0.8,1.3,65.6,85.6,0.3,2.0,0.1,
Leandro Cabrera,7.01,72,D(CL),31.0,2794.0,0.0,9.0,1.0,5.0,2.0,1.5,1.6,1.1,0.9,6.7,0.5,0.5,1.0,2.0,0.7,0.1,0.4,0.1,0.1,0.3,0.2,30.0,50.6,0.2,4.5,0.0,
Sergio Reguilón,7,68,D(L),13.0,1122.0,2.0,3.0,0.0,1.1,0.0,1.8,1.4,1.7,0.2,2.5,0.8,0.2,0.0,0.0,0.4,0.8,2.1,0.0,0.4,1.6,1.2,47.6,85.9,0.3,2.4,0.0,
Diego Godín,6.98,90,D(C),28.0,2508.0,1.0,7.0,0.0,3.0,1.0,1.7,1.5,1.1,0.2,4.5,0.7,0.3,1.0,3.0,0.5,0.3,0.8,0.0,0.0,0.4,0.1,34.9,80.5,0.0,3.1,0.0,
José Gayá,6.98,80,D(L),35.0,3138.0,1.0,10.0,0.0,1.0,2.0,2.4,1.2,1.0,0.4,2.7,1.0,0.2,0.0,1.0,0.4,1.1,1.6,0.1,0.5,0.9,0.7,41.5,81.9,0.6,2.1,0.0,
Yeray Álvarez,6.98,77,D(C),30.0,2614.0,0.0,10.0,0.0,3.4,2.0,1.8,2.1,1.0,0.8,4.8,0.5,0.5,0.0,0.0,0.4,0.2,0.8,0.0,0.3,0.3,0.1,42.8,80.1,0.0,3.0,0.0,
Marc Bartra,6.97,82,D(CR),33.0,2930.0,0.0,4.0,0.0,2.3,1.0,2.6,1.8,0.9,1.1,3.9,1.1,0.6,0.0,1.0,0.3,0.4,1.2,0.1,0.4,0.8,0.1,68.7,87.8,0.0,4.2,0.0,
"Jean0,00Clair Todibo",6.97,64,"D(C), D(C)",2.0,158.0,0.0,2.0,0.0,1.0,1.0,3.5,1.5,2.0,0.5,3.5,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.5,0.0,59.0,92.4,0.0,0.5,0.0,
Filipe Luís,6.96,85,D(L),24.0,2038.0,2.0,4.0,0.0,0.7,0.0,2.4,1.6,1.0,0.0,1.4,1.0,0.1,0.0,2.0,0.4,0.9,0.5,0.1,0.7,0.6,0.6,47.7,83.1,0.3,1.5,0.0,
Unai Núñez,6.96,75,D(C),11.0,1063.0,0.0,4.0,0.0,3.6,1.0,1.3,2.3,1.3,0.6,4.8,0.3,1.0,0.0,0.0,1.0,0.2,0.2,0.0,0.1,0.2,0.3,44.7,87.3,0.0,3.8,0.0,
Mario Hermoso,6.95,76,D(C),31.0,2806.0,0.0,7.0,0.0,2.3,3.0,1.2,1.2,0.7,0.7,5.2,0.6,0.8,0.0,3.0,0.8,0.3,0.9,0.1,0.2,0.2,0.2,50.3,83.9,0.0,4.9,0.1,
Rúben Vezo,6.94,77,D(CR),15.0,1340.0,1.0,4.0,0.0,1.8,0.0,1.7,1.3,1.0,0.4,5.7,0.5,1.3,0.0,2.0,0.5,0.3,0.7,0.1,0.2,0.5,0.3,33.1,78.0,0.0,2.5,0.0,
Dimitrios Siovas,6.94,72,D(C),34.0,2965.0,0.0,5.0,0.0,3.1,1.0,1.7,1.9,0.9,0.3,4.4,0.6,0.4,0.0,1.0,0.6,0.4,0.3,0.1,0.3,0.3,0.3,39.7,72.3,0.1,3.6,0.0,
Thomas Partey,6.93,82,"D(R), M(CR)",22.0,2067.0,4.0,7.0,1.0,1.3,5.0,2.1,1.5,1.0,0.0,0.6,0.9,0.2,0.0,3.0,1.1,1.1,0.7,0.0,0.6,0.9,0.6,41.5,83.8,0.3,2.3,0.1,
Aritz Elustondo,6.93,76,D(CR),24.0,2253.0,0.0,5.0,0.0,2.4,1.0,1.7,1.4,0.8,0.5,5.1,0.6,0.3,0.0,1.0,0.4,0.6,1.0,0.0,0.1,0.5,0.3,41.0,78.9,0.3,1.7,0.0,
Jesús Navas,6.93,80,"D(R), M(R)",31.0,2714.0,5.0,8.0,0.0,0.5,0.0,0.9,0.9,0.4,0.2,1.6,0.3,0.2,0.0,1.0,1.0,1.1,1.0,0.3,0.4,0.5,1.3,44.3,77.0,1.3,2.9,0.1,
Martín Mantovani,6.93,75,D(C),6.0,699.0,0.0,2.0,0.0,3.8,1.0,1.7,2.4,1.3,0.7,5.2,0.6,0.3,1.0,2.0,0.6,0.0,1.8,0.0,0.3,0.3,0.0,25.1,79.6,0.0,1.2,0.0,
Gabriel Paulista,6.93,82,D(CR),30.0,2625.0,1.0,6.0,0.0,2.1,1.0,1.0,2.3,0.8,0.6,5.2,0.5,0.7,0.0,0.0,0.4,0.1,1.0,0.0,0.1,0.4,0.2,43.3,86.7,0.0,3.8,0.0,
Júnior Firpo,6.93,76,"D(L), M(L)",22.0,1937.0,4.0,7.0,0.0,1.5,1.0,1.6,1.0,1.3,0.1,1.5,0.6,0.1,0.0,3.0,0.8,1.3,1.1,0.2,0.6,1.0,0.8,38.9,82.9,0.3,0.8,0.0,
Ezequiel Garay,6.92,82,D(C),24.0,2137.0,0.0,4.0,0.0,3.0,0.0,0.8,0.7,0.8,0.4,5.7,0.4,1.0,0.0,2.0,0.5,0.1,0.5,0.0,0.0,0.2,0.2,44.6,83.6,0.0,4.1,0.0,
Sergio Ramos,6.91,91,D(CR),28.0,2476.0,1.0,5.0,1.0,2.2,2.0,1.5,1.3,1.0,1.0,3.0,0.6,0.5,0.0,6.0,1.1,0.1,1.3,0.2,0.1,0.4,0.3,68.5,92.1,0.0,7.1,0.0,
Sergi Roberto,6.91,83,"D(R), M(CR)",23.0,2089.0,7.0,3.0,0.0,1.0,1.0,1.0,1.5,0.6,0.1,0.9,0.3,0.1,0.0,0.0,0.3,0.5,1.1,0.0,0.7,1.0,1.0,55.9,90.5,0.2,1.0,0.1,
Santiago Arias,6.91,78,D(R),20.0,1771.0,1.0,4.0,0.0,1.7,1.0,1.9,1.4,0.8,0.0,1.4,0.4,0.1,0.0,1.0,0.4,0.3,1.3,0.1,0.4,0.9,0.6,31.6,81.9,0.4,0.6,0.0,
Jeison Murillo,6.9,80,D(C),1.0,90.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,94.1,0.0,0.0,0.0,
Jorge Miramón,6.9,72,"D(R), M(R)",30.0,2496.0,0.0,5.0,0.0,1.0,1.0,2.4,1.5,0.9,0.4,1.8,0.6,0.4,0.0,1.0,0.4,1.1,0.4,0.0,0.5,1.1,0.9,32.8,75.1,0.8,2.6,0.0,
Naldo,6.9,75,D(C),16.0,1366.0,1.0,3.0,0.0,2.4,0.0,1.1,1.6,0.8,0.8,6.9,0.3,0.8,0.0,1.0,0.4,0.1,0.3,0.1,0.1,0.6,0.1,37.5,81.3,0.0,2.9,0.0,
Vitorino Antunes,6.89,80,D(L),25.0,2182.0,3.0,5.0,0.0,0.8,0.0,1.5,1.5,1.3,0.4,2.1,0.6,0.3,0.0,1.0,1.0,0.8,0.7,0.0,0.5,0.9,1.1,28.2,58.2,1.5,2.9,0.0,
Jonathan Silva,6.89,74,"D(L), M(L)",30.0,2700.0,6.0,9.0,0.0,0.6,0.0,1.7,1.0,1.7,0.1,2.3,1.0,0.1,0.0,3.0,0.8,0.4,0.7,0.1,0.4,1.4,1.6,29.6,71.7,1.4,1.6,0.0,
Damián Suárez,6.89,77,D(R),36.0,3240.0,3.0,13.0,0.0,0.9,0.0,2.7,1.3,1.6,0.6,1.4,1.9,0.2,0.0,0.0,0.4,0.6,1.5,0.1,0.6,0.8,1.7,36.8,65.0,1.7,4.0,0.0,
Ximo Navarro,6.88,75,D(CR),28.0,2533.0,2.0,7.0,0.0,1.6,1.0,1.8,1.5,0.6,0.5,4.2,0.4,0.4,0.0,2.0,0.4,0.5,1.2,0.0,0.5,0.8,0.3,26.5,79.1,0.5,2.0,0.0,
Clément Lenglet,6.88,82,D(C),22.0,1935.0,0.0,8.0,1.0,1.9,1.0,2.0,0.9,1.3,0.7,3.0,0.6,0.9,1.0,1.0,0.3,0.3,0.6,0.0,0.1,0.2,0.0,49.8,89.4,0.0,3.0,0.0,
Daniel Carriço,6.88,78,"D(C), DMC",24.0,2132.0,1.0,10.0,0.0,2.5,1.0,1.5,1.3,1.3,0.8,4.3,0.3,0.5,0.0,1.0,0.4,0.3,0.3,0.0,0.3,0.3,0.2,41.7,79.7,0.0,3.0,0.0,
Pedro Alcalá,6.88,75,D(C),20.0,1869.0,1.0,9.0,0.0,3.5,1.0,1.3,1.4,0.8,0.6,4.8,0.3,0.7,0.0,1.0,0.6,0.2,0.5,0.1,0.2,0.3,0.2,34.5,79.4,0.0,2.6,0.0,
Okay Yokuslu,6.87,77,"D(C), DMC",26.0,2205.0,0.0,10.0,0.0,2.6,1.0,2.0,1.2,1.4,0.1,1.7,0.6,0.4,0.0,2.0,0.6,0.9,1.1,0.0,0.7,0.9,0.4,46.2,86.1,0.0,2.7,0.0,
Simon Kjaer,6.87,81,D(C),25.0,2016.0,0.0,5.0,0.0,3.0,0.0,1.1,1.0,0.8,0.8,5.2,0.3,1.3,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.2,0.2,34.9,85.7,0.0,2.5,0.1,
Nacho,6.87,74,D(LR),35.0,3150.0,3.0,10.0,0.0,0.9,2.0,3.1,1.3,0.8,0.2,2.3,0.9,0.3,0.0,1.0,0.5,0.4,1.0,0.2,0.3,0.8,1.2,39.4,71.0,0.7,2.7,0.0,
Yuri,6.87,77,"D(L), M(L)",35.0,3121.0,2.0,9.0,1.0,2.2,1.0,1.3,1.2,1.1,0.1,2.0,0.7,0.3,0.0,2.0,0.8,0.9,2.2,0.1,0.5,1.2,0.5,39.1,81.9,0.6,1.1,0.0,
Hugo Mallo,6.86,80,"D(CR), M(R)",35.0,3094.0,4.0,11.0,0.0,1.7,0.0,2.1,1.4,1.5,0.3,3.3,0.7,0.4,0.0,1.0,0.7,0.6,0.8,0.3,0.5,1.1,0.9,42.6,74.6,0.9,2.2,0.0,
José Luis Morales,6.86,81,"D(R), M(CLR), FW",35.0,3197.0,5.0,7.0,0.0,0.4,2.0,0.6,0.3,0.8,0.0,0.3,1.1,0.0,0.0,12.0,1.8,1.9,1.4,0.6,2.3,2.2,1.2,18.8,71.1,0.2,0.8,0.1,
Íñigo Martínez,6.85,75,D(C),33.0,2903.0,0.0,12.0,0.0,2.9,0.0,1.6,2.1,1.2,0.5,4.3,0.4,0.4,0.0,0.0,0.8,0.1,1.7,0.0,0.2,0.4,0.2,43.6,78.0,0.1,5.3,0.0,
Kévin Rodrigues,6.85,74,D(L),5.0,483.0,0.0,1.0,0.0,0.9,0.0,3.0,1.1,0.7,0.0,2.0,1.1,0.4,0.0,0.0,0.3,1.3,0.9,0.0,1.0,0.9,0.9,25.9,74.6,0.6,1.0,0.0,
Marc Muniesa,6.83,74,D(CL),15.0,1403.0,0.0,6.0,0.0,1.6,1.0,2.6,1.9,1.1,0.1,2.1,0.7,0.3,0.0,0.0,0.4,0.6,1.1,0.0,0.3,0.5,0.3,40.3,80.7,0.4,2.3,0.1,
Cristiano Piccini,6.83,77,D(R),21.0,1868.0,0.0,3.0,0.0,1.1,1.0,1.4,1.2,0.8,0.2,2.5,0.6,0.3,0.0,1.0,0.5,1.3,0.6,0.0,0.6,0.9,0.2,33.5,78.5,0.5,1.1,0.0,
Theo Hernández,6.83,77,D(L),22.0,1977.0,2.0,5.0,1.0,0.9,3.0,2.3,1.4,1.2,0.1,1.5,0.7,0.2,0.0,1.0,1.0,1.8,2.9,0.2,1.1,1.5,0.8,37.9,82.8,0.4,0.7,0.0,
Javi López,6.83,75,"D(R), DMC",21.0,1949.0,0.0,3.0,1.0,1.5,1.0,2.7,1.7,1.4,0.3,3.3,1.4,0.2,0.0,0.0,0.3,0.8,1.5,0.0,0.7,0.9,0.7,37.0,78.1,0.4,1.3,0.0,
Djené Dakonam,6.81,78,D(C),34.0,2981.0,0.0,11.0,2.0,2.6,3.0,1.6,2.2,1.5,0.9,4.4,0.5,0.3,0.0,0.0,0.4,0.5,0.9,0.0,0.3,0.5,0.1,28.6,71.9,0.1,3.1,0.0,
Marcelo,6.81,80,D(L),21.0,1841.0,2.0,6.0,0.0,0.3,1.0,1.5,0.7,0.8,0.3,0.6,1.0,0.1,0.0,2.0,1.5,1.4,0.9,0.2,0.6,1.2,1.4,57.6,83.5,0.8,3.4,0.0,
Joseba Zaldua,6.8,75,D(R),25.0,2142.0,2.0,7.0,0.0,1.8,0.0,1.4,1.5,1.3,0.0,2.5,0.7,0.1,0.0,1.0,0.2,0.8,2.5,0.0,0.4,1.2,0.5,34.6,77.4,0.8,1.5,0.0,
Ramiro Funes Mori,6.8,77,"D(C), DMC",29.0,2628.0,1.0,15.0,0.0,2.3,0.0,1.3,1.4,1.0,0.6,4.7,0.8,0.8,1.0,2.0,0.8,0.2,0.7,0.1,0.2,0.4,0.2,39.1,81.0,0.0,4.0,0.0,
Dídac Vilá,6.79,74,D(L),27.0,2358.0,2.0,10.0,0.0,1.8,0.0,2.4,2.0,1.4,0.1,3.0,1.0,0.4,0.0,0.0,0.9,0.3,1.1,0.0,0.6,1.0,0.7,41.1,73.2,0.4,2.5,0.0,
David Juncà,6.79,76,D(L),21.0,1758.0,3.0,6.0,0.0,1.2,1.0,2.6,1.7,1.2,0.4,2.1,0.9,0.3,0.0,0.0,0.3,0.6,1.0,0.0,0.3,0.7,0.8,39.5,83.5,0.6,1.5,0.0,
Abdoulaye Ba,6.78,73,D(C),25.0,2113.0,0.0,4.0,2.0,2.7,1.0,1.8,1.1,0.9,0.8,6.0,0.4,0.7,0.0,1.0,0.3,0.2,0.5,0.0,0.1,0.5,0.1,40.3,82.4,0.0,3.7,0.0,
Kenneth Omeruo,6.78,72,D(C),27.0,2434.0,0.0,7.0,0.0,1.9,1.0,1.8,1.3,0.6,0.4,5.6,0.3,0.4,0.0,0.0,0.1,0.3,0.4,0.0,0.1,0.4,0.1,34.4,80.3,0.0,3.7,0.0,
Raphael Varane,6.78,86,D(C),31.0,2757.0,0.0,0.0,1.0,2.9,0.0,1.0,1.0,0.3,0.7,4.3,0.1,0.3,0.0,2.0,0.6,0.2,0.4,0.0,0.2,0.4,0.1,53.3,89.0,0.0,4.1,0.0,
Rubén Duarte,6.77,76,D(L),33.0,2777.0,0.0,10.0,1.0,1.6,0.0,2.2,1.7,1.1,0.3,3.3,0.9,0.4,0.0,0.0,0.7,0.2,1.8,0.0,0.2,0.6,0.8,27.9,67.2,0.8,2.3,0.0,
Bernardo Espinosa,6.77,77,D(C),31.0,2729.0,1.0,2.0,2.0,4.2,1.0,0.6,1.3,1.1,0.8,6.3,0.3,1.0,0.0,1.0,0.5,0.1,0.2,0.1,0.1,0.3,0.3,44.9,86.0,0.0,3.3,0.0,
Víctor Laguardia,6.76,77,D(C),36.0,3240.0,2.0,12.0,0.0,2.2,0.0,1.3,1.5,0.7,0.8,6.2,0.3,0.5,1.0,1.0,0.5,0.0,0.4,0.1,0.1,0.2,0.2,35.2,70.5,0.0,4.2,0.0,
Raúl García,6.76,80,D(CL),10.0,854.0,1.0,1.0,0.0,1.5,0.0,2.1,1.1,1.1,0.6,2.9,0.5,0.4,0.0,0.0,0.5,0.9,0.9,0.1,0.6,0.8,0.6,33.6,73.2,1.0,1.8,0.0,
Juanpe,6.76,77,D(C),31.0,2769.0,0.0,8.0,0.0,3.3,2.0,1.5,1.7,1.2,0.5,4.0,0.6,0.5,0.0,0.0,0.6,0.3,0.3,0.1,0.0,0.3,0.2,46.9,81.5,0.0,3.5,0.0,
Jorge Pulido,6.75,71,D(C),32.0,2790.0,3.0,9.0,2.0,2.3,0.0,2.0,1.5,1.6,0.5,4.7,0.6,0.6,1.0,3.0,0.6,0.2,1.0,0.2,0.3,0.5,0.4,28.8,75.4,0.2,1.8,0.0,
Diego Llorente,6.74,77,"D(C), DMC",20.0,1755.0,0.0,5.0,0.0,2.8,1.0,1.2,1.2,1.0,0.8,3.8,0.6,0.7,1.0,0.0,0.3,0.1,0.6,0.0,0.1,0.2,0.1,52.3,84.8,0.0,4.1,0.0,
Álvaro Odriozola,6.74,80,D(R),14.0,1180.0,2.0,2.0,0.0,0.1,0.0,2.0,0.8,1.1,0.5,0.9,0.3,0.1,0.0,0.0,0.1,0.5,1.4,0.4,0.7,1.1,1.3,42.4,90.6,0.7,1.0,0.0,
