Name,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,"Shots per
game",Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Yannis Salibur,5.85,76,"AM(CLR), FW",0,16,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Thiago Alcántara,7.59,86,M(C),26,2409,6,5,0,91.8,1.2,3,2.9,1.5,1.7,0.0,0.6,0.8,0.1,0,2,0.8,1.9,1.1,0.0,0.9,0.7,1.3,83.6,91.8,0.5,7.3,0.1
Kerem Demirbay,7.59,80,AM(C),24,2023,9,6,0,81.2,0.7,6,2.2,0.8,1.8,0.0,0.8,1.5,0.4,0,4,2.3,2.2,1.3,0.1,2.0,2.0,3.1,48.8,81.2,1.7,2.9,0.2
Marcel Halstenberg,7.56,78,"D(L), M(L)",27,2414,6,2,0,74.3,2.6,3,2.4,1.4,0.9,0.5,1.9,0.8,0.1,0,3,0.8,1.0,0.8,0.1,0.9,1.0,2.0,40.9,74.3,1.6,1.4,0.0
Franco Di Santo,5.91,75,"AM(CLR), FW",1,170,0,1,1,63.9,1.3,0,0.3,0.0,0.8,0.0,0.3,0.2,0.0,0,0,0.0,0.2,0.7,0.3,0.0,0.7,0.0,6.0,63.9,0.0,0.2,0.0
Jadon Sancho,7.52,77,AM(LR),26,2464,14,2,0,84.9,0.0,7,0.6,0.4,0.1,0.0,0.1,0.6,0.0,0,12,1.2,3.3,1.1,0.1,1.7,2.7,1.9,38.3,84.9,0.8,0.6,0.1
Joshua Kimmich,7.49,85,"D(CR), DMC",34,3060,13,4,0,90.5,0.7,4,1.4,1.0,0.8,0.1,1.0,0.9,0.3,0,2,0.7,1.1,1.5,0.1,0.7,1.2,2.4,74.1,90.5,2.2,4.2,0.1
Gregor Kobel,7.48,66,GK,1,90,0,0,0,61.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,61.5,0.0,15.0,0.0
Frederik Rönnow,7.47,75,GK,1,122,0,0,0,59.6,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,59.6,0.0,10.5,0.0
Luca Matarese,5.92,61,Forward,0,14,0,1,0,75.0,0.0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,2.0,75.0,0.0,0.0,0.0
Willi Orban,7.41,79,D(C),23,2050,0,5,0,78.2,4.8,3,2.0,1.5,1.1,1.4,5.7,0.6,0.6,0,4,1.1,0.1,1.2,0.0,0.1,0.4,0.0,41.6,78.2,0.0,2.7,0.0
Lukasz Piszczek,7.41,81,"D(CR), M(R)",20,1759,6,3,0,83.3,3.1,2,2.9,2.0,0.8,0.2,3.0,0.8,0.2,0,1,0.6,0.4,0.5,0.0,0.3,0.7,1.1,56.2,83.3,0.6,1.3,0.2
Pedro Neto,5.95,62,Forward,0,43,0,1,0,91.3,0.0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.3,0.0,0.5,0.0,0.8,0.3,0.3,5.8,91.3,0.0,0.0,0.0
Takuma Asano,5.96,70,"AM(CLR), FW",9,702,0,0,0,72.2,0.4,0,0.4,0.2,0.4,0.0,0.2,0.4,0.0,0,0,1.0,0.5,1.1,0.4,1.2,2.2,0.2,11.6,72.2,0.0,0.2,0.0
Idriss Saadi,5.96,70,FW,0,9,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0
Ignacio Camacho,7.34,67,"D(C), M(C)",6,540,0,3,0,78.3,5.5,1,2.5,3.0,2.3,0.0,2.0,0.7,0.3,0,0,1.2,0.2,1.8,0.2,0.2,0.8,0.3,50.0,78.3,0.0,5.8,0.3
Bakary Sako,5.96,79,"M(L), FW",0,26,0,0,0,80.0,0.0,0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.3,0.5,0.5,0.0,2.5,80.0,0.0,0.3,0.0
Dusan Vlahovic,5.96,61,Forward,1,152,0,0,0,62.2,0.2,0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0,0,1.0,0.1,0.2,0.0,0.5,1.1,0.3,3.7,62.2,0.1,0.1,0.0
Alejandro Rodriguez,5.96,71,FW,0,24,0,0,0,33.3,0.0,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,33.3,0.0,0.0,0.0
Branimir Hrgota,5.97,72,"AM(L), FW",0,4,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
Marko Grujic,7.26,73,DMC,20,1780,1,5,0,81.9,3.2,3,2.0,1.3,2.0,0.1,2.3,1.1,0.3,0,5,2.1,1.4,1.0,0.0,0.9,1.0,0.7,43.1,81.9,0.0,1.6,0.0
Leon Dajaku,5.97,62,Forward,0,26,0,0,0,83.3,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,3.0,83.3,0.0,0.0,0.0
Collin Quaner,5.97,68,"AM(R), FW",0,37,0,0,0,76.5,0.0,0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0,0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,8.5,76.5,0.0,0.0,0.0
Kai Havertz,7.25,80,M(CR),33,2901,3,2,0,87.2,1.6,2,0.8,0.5,0.7,0.0,0.8,0.7,0.1,0,17,2.6,1.4,1.5,0.1,2.0,2.2,1.0,52.6,87.2,0.1,2.2,0.1
Vincenzo Grifo,7.25,77,AM(CL),16,1431,3,1,0,79.2,0.2,1,1.6,0.1,0.5,0.0,0.6,0.8,0.1,0,6,2.6,1.9,1.1,0.6,1.6,1.9,2.2,43.3,79.2,1.1,2.9,0.1
Stefano Okaka,5.97,74,FW,0,22,0,1,0,71.4,0.5,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,7.0,71.4,0.0,0.0,0.0
James Rodríguez,7.24,88,AM(CLR),13,1143,3,2,0,87.1,0.2,3,0.6,0.2,0.4,0.0,0.1,0.7,0.0,0,7,1.8,0.8,0.8,0.3,0.6,0.7,2.6,43.9,87.1,1.6,2.4,0.2
Emmanuel Apeh,5.98,66,Forward,0,12,0,0,0,75.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,2.0,75.0,0.0,0.0,0.0
Jermain Defoe,5.98,77,"AM(R), FW",0,22,0,0,0,33.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.8,33.3,0.0,0.0,0.0
Dennis Jastrzembski,5.99,66,Forward,0,58,0,1,0,73.3,0.0,0,0.0,0.2,0.8,0.0,0.0,0.6,0.0,0,0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,3.0,73.3,0.0,0.0,0.0
Ibrahima Konaté,7.19,74,D(C),27,2431,1,7,0,76.0,3.6,0,1.6,2.1,1.3,1.0,4.3,0.4,0.6,0,1,0.5,0.8,0.9,0.0,0.4,0.7,0.2,37.0,76.0,0.0,1.9,0.0
Mark Flekken,7.18,72,GK,1,90,0,0,0,78.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,78.6,0.0,7.0,0.0
Kevin Stöger,7.17,75,M(CL),24,2121,7,8,0,85.0,0.2,3,2.5,1.2,1.9,0.1,0.6,1.5,0.2,0,1,1.3,1.1,2.4,0.0,1.0,1.4,2.2,54.8,85.0,1.2,5.4,0.2
Cedric Teuchert,5.99,68,FW,2,160,0,0,0,60.0,0.0,0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0,0,0.2,0.2,0.4,1.2,0.4,2.0,0.2,3.0,60.0,0.0,0.0,0.0
Mats Hummels,7.17,88,D(C),20,1776,1,1,0,89.4,4.0,0,1.2,1.6,0.4,0.2,2.3,0.7,0.4,0,1,0.9,0.5,0.4,0.0,0.1,0.4,0.6,82.6,89.4,0.0,4.5,0.1
Álex Blanco,5.99,62,Forward,0,14,0,0,0,66.7,0.0,0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,3.0,66.7,0.0,0.0,0.0
Kevin Kampl,7.13,83,M(CLR),25,2122,5,5,0,84.4,0.6,2,1.5,1.2,1.1,0.0,0.7,0.7,0.1,0,2,1.3,0.9,0.3,0.3,0.9,1.1,1.8,52.9,84.4,0.7,2.4,0.1
Thomas Delaney,7.13,82,DMC,27,2290,5,7,0,85.5,1.9,4,2.3,1.9,1.5,0.0,1.4,0.4,0.3,0,3,1.1,0.3,0.8,0.1,0.5,1.2,0.5,53.6,85.5,0.1,2.7,0.0
Louis Beyer,7.12,63,D(R),8,721,0,1,0,87.9,1.6,0,3.6,1.2,0.8,0.8,3.0,0.8,0.7,0,0,0.6,0.8,0.4,0.1,0.4,0.8,0.2,47.6,87.9,0.1,1.3,0.0
Maximilian Arnold,7.11,78,M(CR),33,2879,6,7,0,80.8,0.8,2,1.6,1.1,1.4,0.0,1.3,1.2,0.3,0,2,1.6,0.8,2.5,0.1,0.9,1.1,1.4,39.6,80.8,1.0,4.7,0.1
Axel Witsel,7.11,84,M(C),32,2873,1,2,0,93.1,1.4,0,1.4,1.4,0.8,0.0,1.4,0.3,0.2,0,4,1.1,0.8,1.5,0.0,0.8,0.6,0.5,72.8,93.1,0.0,2.4,0.1
Achraf Hakimi,7.11,78,D(LR),19,1740,4,4,0,86.1,0.8,0,1.6,1.4,0.7,0.3,1.8,0.9,0.2,0,2,1.0,1.8,1.7,0.0,1.3,1.4,0.5,63.4,86.1,0.4,2.1,0.1
Martín Merquelanz,5.99,68,Forward,0,4,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Rode,7.1,76,"D(R), M(C)",12,931,0,4,0,83.4,1.4,0,2.6,1.6,1.3,0.1,1.1,1.6,0.0,0,0,0.3,0.9,0.8,0.0,0.4,1.3,1.5,43.1,83.4,1.0,2.3,0.1
Benjamin Hübner,7.1,79,D(C),9,813,0,2,0,82.6,2.6,0,2.9,2.1,0.8,1.0,3.5,0.4,0.7,0,0,0.9,0.1,1.0,0.0,0.1,0.4,0.0,50.0,82.6,0.0,2.9,0.0
Jordan Torunarigha,7.09,70,D(C),13,1161,2,2,1,79.4,2.7,1,2.4,2.1,1.9,0.3,3.9,0.7,0.5,0,2,0.5,0.1,0.4,0.0,0.4,0.7,0.4,33.9,79.4,0.1,3.1,0.0
William,7.09,74,"D(LR), M(R)",30,2676,1,10,0,74.4,1.6,1,2.6,2.7,1.2,0.2,3.5,1.3,0.1,0,2,0.8,0.9,0.6,0.0,0.6,0.9,1.3,43.8,74.4,0.9,4.0,0.0
Sergi Guardiola,5.99,75,FW,0,28,0,0,0,54.5,0.0,0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0.7,0.0,0.7,0.0,0.0,0.7,0.0,3.7,54.5,0.0,0.0,0.0
Florian Grillitsch,7.06,77,"DMC, M(L)",27,2395,3,8,0,83.5,1.6,0,2.6,2.4,1.4,0.1,1.7,1.5,0.3,0,0,1.1,0.8,1.6,0.0,0.4,0.9,0.9,51.6,83.5,0.2,3.5,0.1
Salif Sané,7.06,82,"D(C), DMC",29,2613,0,4,0,83.2,4.0,1,1.8,2.3,0.9,0.4,4.8,0.6,1.0,0,2,0.6,0.5,1.1,0.0,0.2,0.4,0.2,51.1,83.2,0.1,3.1,0.0
Theodor Gebre Selassie,7.03,76,"D(LR), DMC, M(R)",32,2815,2,2,0,79.8,3.3,1,1.7,2.2,1.0,0.6,2.8,0.9,0.3,0,3,0.9,0.4,1.0,0.1,0.7,1.0,0.7,41.9,79.8,0.3,0.9,0.0
Almamy Touré,7.03,76,D(CR),6,520,0,0,0,73.3,2.1,0,2.6,1.3,0.7,0.9,3.4,0.4,0.1,0,0,0.3,1.6,0.1,0.0,0.0,0.3,0.1,34.7,73.3,0.3,1.3,0.1
Jérôme Roussillon,7.03,79,"D(L), M(L)",28,2466,4,4,0,77.3,0.9,3,1.5,1.1,0.7,0.0,1.5,0.4,0.3,0,3,0.7,1.8,1.4,0.0,1.3,1.6,1.1,36.6,77.3,1.1,1.9,0.0
Emil Forsberg,7.02,82,AM(CLR),14,1254,7,0,0,81.6,0.4,1,0.6,0.2,0.4,0.0,0.3,0.6,0.1,0,4,1.5,1.1,1.2,0.2,1.1,1.5,2.0,23.9,81.6,0.7,0.8,0.2
Raphael Guerreiro,7.02,81,"D(L), M(CL)",17,1532,6,2,0,85.5,0.3,1,1.1,0.8,0.4,0.0,0.4,0.5,0.0,0,2,1.5,1.3,0.9,0.1,1.0,1.9,1.7,46.1,85.5,0.7,0.9,0.1
Gary Madine,5.99,69,FW,0,32,0,0,0,83.3,0.6,0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,2.4,83.3,0.0,0.0,0.0
Marc Oliver Kempf,7.01,74,D(C),23,2026,0,3,0,81.2,5.0,3,1.4,2.0,1.0,0.6,5.7,0.5,0.9,0,2,0.6,0.1,1.3,0.0,0.2,0.5,0.3,44.0,81.2,0.1,3.2,0.0
David Alaba,7.01,85,"D(CL), M(C)",29,2534,3,4,0,85.5,0.8,0,1.1,1.0,0.4,0.3,1.0,0.3,0.1,0,3,1.5,0.9,0.4,0.2,0.6,0.8,0.9,56.9,85.5,0.7,1.7,0.0
Lukas Klostermann,7.01,75,"D(LR), M(R)",22,2003,1,1,0,74.0,1.6,2,1.9,1.1,0.7,0.5,2.4,0.6,0.2,0,5,0.5,0.3,0.4,0.0,0.3,0.4,0.8,30.6,74.0,0.3,1.5,0.0
Charles Aránguiz,7.0,81,M(C),22,1897,7,3,0,88.6,0.5,2,2.0,1.0,1.1,0.0,1.0,1.9,0.1,0,2,1.0,0.4,1.3,0.0,1.1,1.2,1.3,67.8,88.6,0.5,3.3,0.0
Joaquín Muñoz,6.0,63,Forward,0,1,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lenny Pintor,6.0,62,Forward,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nadiem Amiri,7.0,78,AM(CL),10,760,1,1,0,87.4,0.3,0,1.1,0.5,1.1,0.0,0.3,0.8,0.0,0,3,1.4,1.5,1.1,0.0,1.0,0.8,1.2,27.5,87.4,0.2,1.2,0.2
Bastian Oczipka,7.0,77,"D(CL), M(L)",21,1876,5,3,0,77.1,0.6,0,2.0,1.1,0.8,0.0,1.0,0.2,0.2,0,1,0.6,1.1,1.1,0.0,1.0,1.0,2.1,36.8,77.1,2.4,1.0,0.0
Valentino Lazaro,7.0,73,"D(R), M(CLR)",31,2743,6,6,0,76.3,0.6,1,1.5,1.4,0.7,0.2,1.7,1.0,0.4,0,3,0.6,1.1,0.9,0.2,0.8,1.4,1.8,38.9,76.3,1.5,1.6,0.0
Nordi Mukiele,6.99,77,"D(CR), M(R)",14,1227,1,3,0,72.8,2.1,0,2.0,1.3,1.0,0.4,1.8,0.2,0.2,0,1,0.4,0.9,1.1,0.0,0.7,1.1,0.6,30.5,72.8,0.4,1.5,0.1
Lukas Kübler,6.98,70,"D(R), M(R)",15,1187,2,2,0,69.8,1.8,1,2.2,1.9,1.0,0.1,2.8,0.6,0.3,0,0,0.4,0.4,1.3,0.0,0.3,0.8,0.4,26.1,69.8,0.4,1.9,0.0
Virgile Pinson,6.0,62,Forward,0,4,0,0,0,80.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,0.0,0.0,0.0
Michael Esser,6.98,76,GK,32,2880,0,3,0,67.9,0.4,2,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,34.2,67.9,0.0,10.3,0.0
Maximilian Eggestein,6.98,78,M(C),34,3053,4,4,0,80.5,1.3,2,2.0,0.9,1.1,0.1,1.9,0.9,0.3,0,5,1.3,0.4,1.2,0.0,1.1,1.3,1.4,45.8,80.5,0.2,1.4,0.1
Aarón Martín,6.98,77,D(L),32,2879,3,3,0,81.9,0.7,3,1.7,1.2,0.9,0.1,1.8,0.5,0.3,0,0,0.5,1.4,0.8,0.2,0.7,0.7,1.9,36.2,81.9,1.6,1.8,0.0
Josuha Guilavogui,6.97,79,M(C),18,1572,1,5,0,81.6,1.5,1,1.6,2.3,1.3,0.1,2.9,0.6,0.4,0,2,0.4,0.4,0.4,0.0,0.4,0.5,0.4,42.1,81.6,0.1,2.7,0.1
Lucas Torró,6.97,74,DMC,6,561,0,1,0,72.0,5.0,0,1.8,1.8,1.4,0.0,1.5,0.8,0.1,0,0,0.6,0.3,0.9,0.0,0.6,0.6,0.3,32.6,72.0,0.0,1.5,0.0
Leon Goretzka,6.96,83,M(CR),23,2021,4,3,0,87.5,1.3,1,1.4,0.9,0.9,0.0,0.5,0.8,0.1,1,8,1.8,0.5,0.7,0.0,0.6,0.8,0.6,38.4,87.5,0.0,1.2,0.0
Niklas Süle,6.96,84,D(C),29,2652,0,3,0,92.9,2.6,0,0.9,1.3,0.5,0.4,2.6,0.2,0.4,0,2,0.6,0.1,0.2,0.0,0.2,0.2,0.2,82.6,92.9,0.0,5.3,0.0
Julian Baumgartlinger,6.96,78,DMC,16,1557,1,2,0,89.6,1.5,0,2.5,1.2,0.9,0.0,1.0,1.2,0.3,0,0,0.5,0.7,0.9,0.0,0.7,0.7,0.5,65.3,89.6,0.0,3.5,0.0
Maximilian Mittelstädt,6.96,70,"D(L), M(L)",20,1802,1,2,1,73.2,1.7,1,2.4,1.8,0.6,0.0,2.1,1.0,0.2,0,1,0.9,1.0,0.9,0.0,1.0,1.3,0.8,29.6,73.2,0.6,2.3,0.0
Willem Geubbels,6.0,64,Forward,0,7,0,0,0,33.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,33.3,0.0,0.0,0.0
Lars Bender,6.95,83,"D(R), M(CR)",18,1367,4,2,0,82.9,1.9,2,2.2,1.1,1.4,0.0,1.2,0.9,0.2,0,1,0.8,0.5,1.4,0.1,0.2,1.0,0.7,41.3,82.9,0.1,1.1,0.0
Jonathan Tah,6.95,83,D(C),33,2939,1,3,0,89.8,2.3,0,1.3,1.4,0.5,1.0,4.1,0.5,0.8,0,3,0.4,0.5,0.4,0.1,0.4,0.5,0.2,75.5,89.8,0.1,3.8,0.0
Cyril Théréau,6.0,76,"AM(CL), FW",0,28,0,1,0,100.0,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0
Jens Odgaard,6.0,62,Forward,0,16,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0
Marcello Trotta,6.0,72,"AM(R), FW",0,5,0,0,0,66.7,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.7,0.0,0.0,0.0
Péter Gulácsi,6.93,80,GK,33,2926,0,0,0,58.9,0.2,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,27.2,58.9,0.0,7.9,0.0
Jonathan Schmid,6.93,74,"D(R), M(LR)",28,2520,7,1,0,81.1,1.0,2,1.6,1.5,0.8,0.1,2.1,0.4,0.3,1,3,0.6,0.6,0.8,0.1,0.7,0.6,1.6,35.8,81.1,1.4,1.6,0.0
Vincenzo Millico,6.0,60,Forward,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dan0,00Axel Zagadou",6.92,75,D(CL),15,1267,0,4,0,87.8,2.9,0,0.8,1.5,0.8,0.6,4.1,0.1,0.6,0,2,0.6,0.8,0.2,0.0,0.2,0.4,0.1,61.3,87.8,0.0,3.2,0.0
Diego Demme,6.92,79,DMC,24,2061,2,4,0,81.5,1.1,0,2.9,1.0,1.4,0.0,0.5,1.3,0.1,0,0,0.4,0.3,2.0,0.0,0.7,1.3,1.0,56.4,81.5,0.4,3.0,0.1
Pavel Kaderábek,6.92,80,"D(R), M(R)",28,2509,4,7,0,76.3,1.8,1,1.0,1.2,1.2,0.1,2.1,0.4,0.3,0,3,1.0,0.3,0.6,0.0,0.4,1.0,1.5,37.9,76.3,1.1,1.4,0.0
Niklas Stark,6.92,78,"D(C), DMC",22,1871,0,5,0,83.9,2.6,0,1.5,1.7,0.9,0.4,6.0,0.7,1.2,1,1,0.5,0.0,1.0,0.0,0.1,0.1,0.1,46.5,83.9,0.0,2.5,0.0
Martin Hinteregger,6.91,77,D(C),14,1144,0,3,0,73.1,3.6,1,2.4,0.9,0.7,0.6,3.5,1.1,0.5,1,1,0.8,0.4,0.7,0.0,0.4,0.3,0.2,41.2,73.1,0.1,2.7,0.0
Alexander Hack,6.91,74,D(C),11,1019,1,1,0,75.6,3.1,1,2.1,2.9,0.9,0.5,4.1,0.6,1.1,0,1,0.9,0.6,0.6,0.0,0.0,0.1,0.1,39.5,75.6,0.0,3.7,0.0
Nuri Sahin,6.91,79,M(C),19,1487,1,5,0,86.3,1.4,1,3.0,1.9,1.4,0.2,2.0,1.8,0.2,0,1,0.6,0.5,0.5,0.0,0.7,0.5,0.8,54.2,86.3,0.3,2.0,0.0
Nico Elvedi,6.91,77,D(CLR),30,2626,1,1,0,92.7,2.7,2,1.4,1.6,0.6,0.8,4.3,0.3,0.4,0,2,0.5,0.3,0.5,0.0,0.1,0.3,0.1,68.9,92.7,0.0,3.0,0.0
Marcel Tisserand,6.9,74,"D(CLR), M(R)",10,888,0,2,0,78.5,2.9,1,1.4,2.0,1.2,0.2,4.0,0.3,0.5,0,1,1.0,0.4,0.6,0.0,0.7,0.6,0.2,56.8,78.5,0.2,6.1,0.0
Wendell,6.9,77,"D(CL), M(L)",25,2278,2,5,0,85.7,1.5,1,2.7,1.0,1.3,0.3,2.0,0.8,0.5,0,2,0.4,0.3,0.5,0.0,0.2,1.0,0.6,58.9,85.7,0.3,2.4,0.0
"Jean0,00Paul Boëtius",6.9,74,"AM(CL), AM(CL)",25,2130,7,8,0,77.1,0.8,1,1.7,1.2,1.7,0.0,0.3,0.9,0.1,0,4,1.5,1.1,1.6,0.1,1.3,1.9,1.0,27.9,77.1,0.1,1.6,0.2
Leon Bailey,6.9,81,M(LR),21,1921,1,4,0,74.4,0.4,0,0.5,0.5,0.6,0.0,0.3,0.5,0.0,0,5,1.9,1.8,1.2,0.2,1.5,2.2,1.6,26.2,74.4,1.3,0.8,0.0
Nico Schulz,6.9,80,"D(L), M(L)",29,2542,5,6,0,78.0,0.3,1,1.1,0.8,1.0,0.0,1.0,0.7,0.1,0,1,1.0,1.7,0.7,0.3,0.7,1.6,2.0,39.5,78.0,1.1,1.6,0.0
Palko Dárdai,6.01,62,Forward,1,108,0,0,0,70.0,0.1,0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0.1,0.0,0.6,0.9,0.3,5.7,70.0,0.3,0.4,0.0
Markus Suttner,6.89,73,"D(L), M(L)",6,491,1,1,0,77.3,1.2,0,1.7,1.3,1.0,0.5,1.5,0.7,0.5,0,1,0.7,0.0,0.2,0.0,0.7,0.5,1.5,33.0,77.3,1.5,3.8,0.0
Gorka Guruzeta,6.01,67,Forward,0,45,0,0,0,77.8,0.5,0,0.2,0.3,0.7,0.0,0.0,0.3,0.0,0,0,0.2,0.0,0.0,0.0,0.3,0.3,0.3,1.5,77.8,0.0,0.0,0.0
Felipe Vizeu,6.01,75,FW,0,28,0,0,0,71.4,0.2,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0.2,0.0,0.0,0.0,0.2,0.4,0.4,1.4,71.4,0.0,0.0,0.0
Davy Klaassen,6.89,79,AM(C),33,2823,4,5,0,74.5,0.9,2,1.9,1.4,1.4,0.1,1.2,1.1,0.3,0,5,1.0,0.5,0.7,0.0,0.5,1.3,1.2,36.0,74.5,0.3,1.4,0.0
Rani Khedira,6.89,74,"D(C), DMC",30,2627,1,6,0,81.9,2.1,0,1.9,2.7,1.5,0.2,3.1,0.6,0.7,0,4,0.5,0.1,0.8,0.0,0.3,0.7,0.3,41.8,81.9,0.1,2.4,0.0
Abdou Diallo,6.88,71,D(CL),27,2381,1,1,1,89.0,1.8,1,1.3,0.9,0.8,0.5,3.1,0.1,0.5,0,1,0.4,1.4,0.4,0.0,0.6,1.0,0.4,64.9,89.0,0.3,4.6,0.0
Javi Martínez,6.88,83,"D(C), M(C)",16,1313,0,3,0,87.8,2.5,1,1.2,1.5,0.6,0.3,0.6,0.6,0.2,0,3,0.9,0.2,0.6,0.0,0.1,0.9,0.3,43.0,87.8,0.0,1.9,0.0
Yann Sommer,6.88,83,GK,34,3060,0,1,0,77.4,0.4,2,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,41.5,77.4,0.0,7.3,0.0
Tony Jantschke,6.87,75,"D(CR), DMC",10,932,1,0,0,90.0,2.2,0,1.1,1.9,0.4,0.5,3.4,0.1,0.5,0,0,0.3,0.1,0.9,0.0,0.1,0.2,0.1,57.4,90.0,0.0,3.0,0.0
Marco Tumminello,6.01,63,Forward,0,7,0,1,0,40.0,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,2.5,40.0,0.0,0.0,0.0
Edgar Prib,6.87,72,"D(L), M(CL)",2,203,1,1,0,80.0,0.3,1,2.5,0.5,1.8,0.0,0.3,0.5,0.0,0,0,1.5,1.0,0.8,0.0,0.3,0.8,1.5,21.3,80.0,0.8,0.5,0.0
Sven Bender,6.87,81,"D(C), M(C)",25,1995,0,3,0,90.8,2.9,0,1.5,1.9,0.8,0.4,3.5,0.4,0.5,1,0,0.5,0.2,0.4,0.1,0.1,0.5,0.1,61.8,90.8,0.0,3.0,0.0
